Council,CouncilLabel
http://www.wikidata.org/entity/Q2425849,Aberdeen City Council
http://www.wikidata.org/entity/Q13194614,Aberdeenshire Council
http://www.wikidata.org/entity/Q72980889,Adur District Council
http://www.wikidata.org/entity/Q72980920,Allerdale Borough Council
http://www.wikidata.org/entity/Q105536186,Alyn and Deeside District Council
http://www.wikidata.org/entity/Q72980961,Amber Valley Borough Council
http://www.wikidata.org/entity/Q28528114,Angus Council
http://www.wikidata.org/entity/Q28528114,Angus Council
http://www.wikidata.org/entity/Q105536089,Angus District Council
http://www.wikidata.org/entity/Q66133240,Annandale and Eskdale District Council
http://www.wikidata.org/entity/Q16983224,Antrim and Newtownabbey Borough Council
http://www.wikidata.org/entity/Q28530251,Argyll and Bute Council
http://www.wikidata.org/entity/Q72980967,Arun District Council
http://www.wikidata.org/entity/Q73038329,Ashfield District Council
http://www.wikidata.org/entity/Q55098926,Ashford Borough Council
http://www.wikidata.org/entity/Q4829191,Avon County Council
http://www.wikidata.org/entity/Q61995983,Aylesbury Vale District Council
http://www.wikidata.org/entity/Q73039037,Babergh District Council
http://www.wikidata.org/entity/Q56173995,Bala Urban District Council
http://www.wikidata.org/entity/Q105536091,Banff and Buchan District Council
http://www.wikidata.org/entity/Q4861056,Barking and Dagenham London Borough Council
http://www.wikidata.org/entity/Q4861611,Barnet London Borough Council
http://www.wikidata.org/entity/Q16950416,Barnsley Metropolitan Borough Council
http://www.wikidata.org/entity/Q73072525,Barrow-in-Furness Borough Council
http://www.wikidata.org/entity/Q4867303,Basildon Borough Council
http://www.wikidata.org/entity/Q105544671,Basildon District Council
http://www.wikidata.org/entity/Q73072528,Basingstoke and Deane Borough Council
http://www.wikidata.org/entity/Q73045241,Bassetlaw District Council
http://www.wikidata.org/entity/Q16966588,Bath and North East Somerset Council
http://www.wikidata.org/entity/Q105536092,Bearsden and Milngavie District Council
http://www.wikidata.org/entity/Q16239012,Bedford Borough Council
http://www.wikidata.org/entity/Q4879237,Bedfordshire County Council
http://www.wikidata.org/entity/Q55934837,Belfast City Council
http://www.wikidata.org/entity/Q4899799,Bexley London Borough Council
http://www.wikidata.org/entity/Q4916650,Birmingham City Council
http://www.wikidata.org/entity/Q73072529,Blaby District Council
http://www.wikidata.org/entity/Q16984481,Blackburn with Darwen Borough Council
http://www.wikidata.org/entity/Q16984489,Blackpool Council
http://www.wikidata.org/entity/Q28530254,Blaenau Gwent Council
http://www.wikidata.org/entity/Q73072533,Bolsover District Council
http://www.wikidata.org/entity/Q16952682,Bolton Council
http://www.wikidata.org/entity/Q105582203,Borders Regional Council
http://www.wikidata.org/entity/Q73072537,Borough Council of King's Lynn and West Norfolk
http://www.wikidata.org/entity/Q73072538,Boston Borough Council
http://www.wikidata.org/entity/Q1144019,Bournemouth Borough Council
http://www.wikidata.org/entity/Q54818205,"Bournemouth, Christchurch and Poole Council"
http://www.wikidata.org/entity/Q16985082,Bracknell Forest Council
http://www.wikidata.org/entity/Q73072540,Braintree District Council
http://www.wikidata.org/entity/Q28530155,Breckland Council
http://www.wikidata.org/entity/Q73072542,Breckland District Council
http://www.wikidata.org/entity/Q4961461,Brent London Borough Council
http://www.wikidata.org/entity/Q73072544,Brentwood Borough Council
http://www.wikidata.org/entity/Q16953725,Brighton and Hove City Council
http://www.wikidata.org/entity/Q16953796,Bristol City Council
http://www.wikidata.org/entity/Q73072548,Broadland District Council
http://www.wikidata.org/entity/Q4973687,Bromley London Borough Council
http://www.wikidata.org/entity/Q73072550,Bromsgrove District Council
http://www.wikidata.org/entity/Q4976877,Broxbourne Borough Council
http://www.wikidata.org/entity/Q73072553,Broxtowe Borough Council
http://www.wikidata.org/entity/Q65052846,Buckinghamshire Council
http://www.wikidata.org/entity/Q4983255,Buckinghamshire County Council
http://www.wikidata.org/entity/Q73072554,Burnley Borough Council
http://www.wikidata.org/entity/Q16954633,Bury Metropolitan Borough Council
http://www.wikidata.org/entity/Q16985873,Calderdale Metropolitan Borough Council
http://www.wikidata.org/entity/Q5025388,Cambridge City Council
http://www.wikidata.org/entity/Q5025648,Cambridgeshire County Council
