id,identifier,govIdentifier,URL,name,description,siteAddressStreet,siteAddressCity,siteAddressCounty,siteAddressCountry,siteAddressPostcode,latitude,longitude,telephone,openingHours,ownerID,ownerName,operatorID,operatorCompanyID,operatorName,operatorAddressStreet,operatorAddressCity,operatorAddressCounty,operatorAddressCountry,operatorAddressPostcode,dateOpened,dateClosed,areaServed,charge,proofOfResidency,accessibilityNotes,pedestrianAccess,trade,ANPR,reuseShop,dateUpdated,dateValidFrom,dateValidTo,wikidataQid
,hwrc-nir-ann-0107ln0923,WML 01/07LN/09/23,,Newpark Household Recycling Centre,,8 Orchard Way,,Antrim,nir,BT41 2RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-0108ln08109,WML 01/08LN/08/109,,Craigmore Household Recycling Centre,,Clonkeen Road,,Antrim,nir,BT41 3JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-0109ln0868,WML 01/09LN/08/68,,Crumlin Household Recycling Centre,,Main Street,,Antrim,nir,BT29 4UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-0209ln0860,WML 02/09LN/08/60,,Millisle Civic Amenity Site,,Moss Road,,Down,nir,BT22 2DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-0210ln08106,WML 02/10LN/08/106,,Donaghadee Civic Amenity Site,,Railway Street,,Down,nir,BT21 0HN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-0211ln0861,WML 02/11LN/08/61,,Kircubbin Civic Amenity Site,,Parsonage Road,,Down,nir,BT22 2RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-0212ln0863,WML 02/12LN/08/63,,Portaferry Civic Amenity Site,,Coach Road,,Down,nir,BT22 1PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-0213ln0862,WML 02/13LN/08/62,,Ballygowan Civic Amenity Site,,Moss Road,,Down,nir,BT23 6JE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-0218ln0864,WML 02/18LN/08/64,,Newtownards Civic Amenity Site,,North Road,,Down,nir,BT23 7SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-0238ln1327,WML 02/38LN/13/27,,Comber Waste Recycling Centre,,29-31 Ballygowan Road,,Down,nir,BT23 5PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-abc-0320ln1644,WML 03/20LN/16/44,,Keady Recycling Centre,,Annvale Industrial Estate,,Armagh,nir,BT60 2RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-abc-0321ln0825,WML 03/21LN/08/25,,Station Road Recycling Centre,,Station Road,,Armagh,nir,BT61 7NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-abc-0322ln0826,WML 03/22LN/08/26,,Markethill Recycling Centre,,Markethill Business Centre,,Armagh,nir,BT60 1PW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-abc-0323ln0828,WML 03/23LN/08/28,,Tandragee Recycling Centre,,Madden Road,,Armagh,nir,BT62 2DG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-0437ln1315,WML 04/37LN/13/15,,Ballymena Civic Amenity Site,,Waveney Road,,Antrim,nir,BT43 5BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-0501ln0855,WML 05/01LN/08/55,,Knock Road Civic Amenity Site,,Knock Road,,Antrim,nir,BT53 6LX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-0502ln0915,WML 05/02LN/09/15/V2,,Crosstagherty Civic Amenity Site & Waste Transfer Facility,,Burnquarter Road,,Antrim,nir,BT53 8LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-0609ln0998,WML 06/09LN/09/98/V2,,Dromore Community Recycling Centre,,Mossvale Road,,Down,nir,BT25 1DG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-0610ln0820,WML 06/10LN/08/20/V2,,Rathfriland Community Recycling Centre,,Iveagh Park Road,,Down,nir,BT34 5NQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-0613ln0818,WML 06/13LN/08/18/V2,,Scarva Road Civic Amenity Site,,86 Scarva Road,,Down,nir,BT32 3QD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-0701ln1147,WML 07/01LN/11/47,,Blackstaff Way Recycling Centre,,1 Blackstaff Way,,Antrim,nir,BT11 9DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-0702ln1146,WML 07/02LN/11/46,,Alexandra Park Avenue Recycling Centre,,180 Alexandra Park Avenue,,Antrim,nir,BT15 3GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-0703ln1145,WML 07/03LN/11/45,,Palmerston Road Recycling Centre,,2-4 Palmerston Road,,Down,nir,BT4 1QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-0728ln0630,WML 07/28LN/06/30,,Springfield Avenue Recycling Centre,,7 - 11 Springfield Avenue,,Antrim,nir,BT12 7BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-0729ln0739,WML 07/29LN/07/39,,Agnes Street Civic Amenity Site,,135 Agnes Street,,Antrim,nir,BT13 1GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
