id,identifier,govIdentifier,URL,name,description,siteAddressStreet,siteAddressCity,siteAddressCounty,siteAddressCountry,siteAddressPostcode,latitude,longitude,telephone,openingHours,ownerID,ownerName,operatorID,operatorCompanyID,operatorName,operatorAddressStreet,operatorAddressCity,operatorAddressCounty,operatorAddressCountry,operatorAddressPostcode,dateOpened,dateClosed,areaServed,charge,proofOfResidency,accessibilityNotes,pedestrianAccess,trade,ANPR,reuseShop,dateUpdated,dateValidFrom,dateValidTo,wikidataQid
841,hwrc-wal-crf-vp3295eu,VP3295EU,,Bessemer Close Household And Commercial Waste Recycling Centre,,Leckwith,Cardiff,,wal,CF11 8XA,51.45872057,-3.210435692,,,crf,City of Cardiff Council,,,Cardiff County Council,,,,,,39358,,,0,,,,,,,44276,,,Q5038400
842,hwrc-wal-crf-ep3995fl,EP3995FL,,Lamby Way Depot,,"Lamby Way Depot, Lamby Way",Cardiff,,wal,CF3 2HP,51.49810079,-3.124177157,,,crf,City of Cardiff Council,,,Cardiff Council,,,,,,42429,,,0,,,,,,,44276,,,Q5038400
843,hwrc-wal-vgl-jb3535rs,JB3535RS,,Court Road Civic Amenity Site,,,Barry,,wal,CF63 1ET,51.41053141,-3.262507569,,,vgl,Vale of Glamorgan Council,,,Vale Of Glamorgan Council,,,,,,33960,,,0,,,,,,,44276,,,Q7909538
844,hwrc-wal-vgl-up3395vq,UP3395VQ,,Atlantic H W R C,,Atlantic H W R C,Barry,,wal,CF63 3RF,51.3976471,-3.245578651,,,vgl,Vale of Glamorgan Council,,,FCC Waste Services (UK) Limited,,,,,,42536,,,0,,,,,,,44276,,,Q7909538
845,hwrc-wal-rct-zp3495ez,ZP3495EZ,,Treforest Civic Amenity Site,,"Treforest Civic Amenity Site, Treforest Industrial Est",Pontypridd,,wal,CF37 5YR,51.57038007,-3.289109633,,,rct,Rhondda Cynon Taf County Borough Council,,,Cynon Valley Waste Disposal Co Ltd,,,,,,39427,,,0,,,,,,,44276,,,Q7321391
846,hwrc-wal-cay-lp3895fk,LP3895FK,,Trehir Civic Amenity Site,,"Trehir Quarry, Pandy Lane",Llanbradach,,wal,CF83 3RP,51.59841283,-3.223964803,,,cay,Caerphilly County Borough Council,,,Caerphilly County Borough Council,,,,,,35915,,,0,,,,,,,44276,,,Q5016926
847,hwrc-wal-cay-wp3490vw,WP3490VW,,Full Moon Waste Transfer Station,,Cross Keys,Newport,,wal,NP11 7BD,51.61554105,-3.13922398,,,cay,Caerphilly County Borough Council,,,Caerphilly County Borough Council,,,,,,34676,,,0,,,,,,,44276,,,Q5016926
848,hwrc-wal-rct-wb3793hf,WB3793HF,,Llantrisant Community Recycling Centre,,Pantybrad,Llantrisant,,wal,CF72 8LP,51.55638619,-3.384797771,,,rct,Rhondda Cynon Taf County Borough Council,,,Cynon Valley Waste Disposal Company Ltd,,,,,,42258,,,0,,,,,,,44276,,,Q7321391
849,hwrc-wal-cay-wp3391ep,WP3391EP,,Penmaen Civic Amenity Site,,Pontllanfraith,Blackwood,,wal,NP12 2XZ,51.65827596,-3.184895313,,,cay,Caerphilly County Borough Council,,,Caerphilly County Borough Council,,,,,,37538,,,0,,,,,,,44276,,,Q5016926
850,hwrc-wal-cay-ep3795fq,EP3795FQ,,Penallta Civic Amenity Site,,"Penallta Civic Amenity Site, Penallta Industrial Estate",Hengoed,,wal,CF82 7ST,51.65724444,-3.244617948,,,cay,Caerphilly County Borough Council,,,Caerphilly County Borough Council,,,,,,38300,,,0,,,,,,,44276,,,Q5016926
851,hwrc-wal-rct-wp3195fu,WP3195FU,,Dinas Community Recycling Centre,,"Cymmer Road, Dinas",Porth,,wal,CF39 3BL,51.61445231,-3.422701976,,,rct,Rhondda Cynon Taf County Borough Council,,,Cynon Valley Waste Disposal Co Ltd,,,,,,43494,,,0,,,,,,,44276,,,Q7321391
852,hwrc-wal-cay-rp3395fm,RP3395FM,,Aberbargoed Civic Amenity Site,,Aberbargoed,Bargoed,,wal,CF81 9EP,51.68396257,-3.215928378,,,cay,Caerphilly County Borough Council,,,Caerphilly County Borough Council,,,,,,38796,,,0,,,,,,,44276,,,Q5016926
